product_id,image_url,image_type,position,alt_text
d95d8861-2c27-4c5e-82c0-0e7ac9486323,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_03/vest-and-tie_aqua-vest-and-tie-set_1.0.jpg,primary,1,Aqua Vest And Tie Set
0968e54c-51bd-4d26-afb9-97ccb60bfa51,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_02/vest-tie_baby-blue-vest-and-tie-set_1.0.jpg,primary,1,Baby Blue Vest Tie Set
7bc81f25-1a81-4e8a-848b-968c2c5ce7d7,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/vest-tie_beige-vest-and-tie-set_1.0.jpg,primary,1,Beige Vest Tie Set
754192d7-e19e-475b-9b64-0463d31c4cad,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_2/nan_black-and-white-tuxedo_2.0.jpg,primary,1,Black And White Classic Tuxedo
7affb342-0e29-49b4-b82f-e908e6b60e47,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/boots_black-chelsea-boots_1.0.jpg,primary,1,Black Chelsea Boots
ccdf7fe2-c0f9-4d4c-ad86-256a2c251ed6,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_2/nan_black-double-breasted-prom-tuxedo-satin-lapel_2.0.jpg,primary,1,Black Double Breasted Prom Tuxedo Satin Lapel
42b78bd2-a60d-47d4-9a9b-6bc2db312544,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_4/mens-tuxedos_mens-slim-fit-black-double-breasted-tuxedo-with-satin-peak-lapel_1.0.jpg,primary,1,Black Double Breasted Tuxedo With Satin Peak Lapel
50bbec80-056d-4889-9987-53a95ffe9b9c,nan,gallery,1,Black Floral Embroidered Tuxedo
e0dc72ea-cf03-44f0-8bbe-2da538123957,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_4/kid-suit_black-kids-suit_1.0.jpg,primary,1,Black Kids Suit
709a11ab-de0f-4fe8-a6ee-903892a5372b,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/nan_elegant-black-paisley-three-piece-tuxedo-with-velvet-lapel-a-modern-classic-for-2024-prom-and-wedding-seasons_2.0.webp,primary,1,Black Paisley Three Piece Tuxedo With Velvet Lapel
0386398a-2aeb-4a3e-a98d-fa06dc7949a1,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-suspender-bowtie-set/black-model.png,primary,1,Black Sparkle Vest & Bowtie Set
0d3f01af-a94d-4517-848f-65413ba65a53,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-suspender-bowtie-set/black-model.png,primary,1,Black Suspender & Bowtie Set
7583d28a-d0d6-4342-b085-cab904a71556,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-suspender-bowtie-set/black-model.png,primary,1,Black Suspender Bow Tie Set
ff260f9f-ee70-417c-a368-b809b159f2ac,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_3/mens-tuxedos_mens-classic-black-three-piece-tuxedo-with-satin-shawl-lapel_1.0.png,primary,1,Black Three Piece Tuxedo With Satin Shawl Lapel
c102c569-bf35-4786-b619-9747b62c9b6b,nan,gallery,1,Black Velvet Tuxedo Jacket
d6a2d07c-823b-4fd0-90e5-dd7670b8e754,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_carolina-blue-vest-and-tie-set_1.0.jpg,primary,1,Blue Carolina Vest And Tie Set
fa2f80cb-d095-44fd-8777-422c37cb5327,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_french-blue-vest-and-tie-set_1.0.jpg,primary,1,Blue French Vest And Tie Set
554be880-23ea-4deb-a3a2-74a506dcfc1b,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_light-blue-suspender-bow-tie-set_1.0.jpg,primary,1,Blue Light Suspender Bow Tie Set
19c42efe-b968-4cc5-901c-c9f9993e0467,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_powder-blue-vest-and-tie-set_1.0.jpg,primary,1,Blue Powder Vest And Tie Set
6b0fd02c-c921-41f1-8ae1-f37ba31faba9,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-solid-vest-tie/blush-model.png,primary,1,Blush Vest & Tie Set
98ef0e63-5995-4f33-a43e-041a3fefac1d,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-solid-vest-tie/blush-model.png,primary,1,Blush Vest And Tie Set
76900ac8-247d-4054-8dca-c985cf537b73,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/boots_brown-chelsea-boots_1.0.jpg,primary,1,Brown Chelsea Boots
4a5392f3-7cbb-464d-8ac8-c54561842fec,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/nan_chocolate-brown-vest-and-tie-set_1.0.jpg,primary,1,Brown Chocolate Vest And Tie Set
6f7dda20-bf92-4b80-bab6-920139091c5e,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/double_breasted/mens_double_breasted_suit_2021_0.webp,primary,1,Brown Classic Check Double Breasted Suit
