product_id,variant_title,price_cents,price_usd,stripe_price_id,stripe_active,sku
0386398a-2aeb-4a3e-a98d-fa06dc7949a1,Black Sparkle Vest & Bowtie Set - L,5999,$59.99,price_1RvZjyCHc12x7sCzT4uiFmmb,True,SVB-BLACK-B
0386398a-2aeb-4a3e-a98d-fa06dc7949a1,Black Sparkle Vest & Bowtie Set - M,5999,$59.99,price_1RvZjyCHc12x7sCzT4uiFmmb,True,SVB-BLACK-B
0386398a-2aeb-4a3e-a98d-fa06dc7949a1,Black Sparkle Vest & Bowtie Set - S,5999,$59.99,price_1RvZjyCHc12x7sCzT4uiFmmb,True,SVB-BLACK-B
0386398a-2aeb-4a3e-a98d-fa06dc7949a1,Black Sparkle Vest & Bowtie Set - XL,5999,$59.99,price_1RvZjyCHc12x7sCzT4uiFmmb,True,SVB-BLACK-B
0386398a-2aeb-4a3e-a98d-fa06dc7949a1,One Size,5999,$59.99,price_1RvZjyCHc12x7sCzT4uiFmmb,True,SVB-BLACK-B
0d3f01af-a94d-4517-848f-65413ba65a53,Black Suspender & Bowtie Set - L,4999,$49.99,price_1RvZjxCHc12x7sCzMLltz6kA,True,SB-BLACK-SET
0d3f01af-a94d-4517-848f-65413ba65a53,Black Suspender & Bowtie Set - M,4999,$49.99,price_1RvZjxCHc12x7sCzMLltz6kA,True,SB-BLACK-SET
0d3f01af-a94d-4517-848f-65413ba65a53,Black Suspender & Bowtie Set - S,4999,$49.99,price_1RvZjxCHc12x7sCzMLltz6kA,True,SB-BLACK-SET
0d3f01af-a94d-4517-848f-65413ba65a53,Black Suspender & Bowtie Set - XL,4999,$49.99,price_1RvZjxCHc12x7sCzMLltz6kA,True,SB-BLACK-SET
0d3f01af-a94d-4517-848f-65413ba65a53,Complete Set,4999,$49.99,price_1RvZjxCHc12x7sCzMLltz6kA,True,SB-BLACK-SET
0d3f01af-a94d-4517-848f-65413ba65a53,Suspenders Only,3499,$34.99,price_1RvZjwCHc12x7sCzDit4VmDS,True,SB-BLACK-SET
9b61b5cc-286d-45c9-871f-7462ea2c5441,Brown Suspender & Bowtie Set - L,4999,$49.99,price_1RvZjxCHc12x7sCzMLltz6kA,True,SB-BROWN-SET
9b61b5cc-286d-45c9-871f-7462ea2c5441,Brown Suspender & Bowtie Set - M,4999,$49.99,price_1RvZjxCHc12x7sCzMLltz6kA,True,SB-BROWN-SET
9b61b5cc-286d-45c9-871f-7462ea2c5441,Brown Suspender & Bowtie Set - S,4999,$49.99,price_1RvZjxCHc12x7sCzMLltz6kA,True,SB-BROWN-SET
9b61b5cc-286d-45c9-871f-7462ea2c5441,Brown Suspender & Bowtie Set - XL,4999,$49.99,price_1RvZjxCHc12x7sCzMLltz6kA,True,SB-BROWN-SET
9b61b5cc-286d-45c9-871f-7462ea2c5441,Complete Set,4999,$49.99,price_1RvZjxCHc12x7sCzMLltz6kA,True,SB-BROWN-SET
9b61b5cc-286d-45c9-871f-7462ea2c5441,Suspenders Only,3499,$34.99,price_1RvZjwCHc12x7sCzDit4VmDS,True,SB-BROWN-SET
f10ea07d-b918-4b01-a212-3b9308bc45dd,Burnt Orange Suspender & Bowtie Set - L,4999,$49.99,price_1RvZjxCHc12x7sCzMLltz6kA,True,SB-BURNT-ORANGE-SET
f10ea07d-b918-4b01-a212-3b9308bc45dd,Burnt Orange Suspender & Bowtie Set - M,4999,$49.99,price_1RvZjxCHc12x7sCzMLltz6kA,True,SB-BURNT-ORANGE-SET
f10ea07d-b918-4b01-a212-3b9308bc45dd,Burnt Orange Suspender & Bowtie Set - S,4999,$49.99,price_1RvZjxCHc12x7sCzMLltz6kA,True,SB-BURNT-ORANGE-SET
f10ea07d-b918-4b01-a212-3b9308bc45dd,Burnt Orange Suspender & Bowtie Set - XL,4999,$49.99,price_1RvZjxCHc12x7sCzMLltz6kA,True,SB-BURNT-ORANGE-SET
